u_mps,v_mps,w_mps,p_rps,q_rps,r_rps,phi_rad,theta_rad,psi_rad,p1_n_m,p2_n_m,p3_n_m
-0.4110663116,0.2252863955,3.3902189167,0.1397471176,0.3708537267,0.5109119010,0.0663543170,0.1203986866,0.1854781031,-0.0004293567,-0.0000227618,-9145.7425308543
-0.4345460293,0.2387663797,3.4851640327,0.1387169180,0.3713109653,0.5105574606,0.0684024836,0.1237572369,0.1908637834,-0.0004939252,-0.0000268552,-9145.7078172108
-0.4586503381,0.2526578814,3.5799482982,0.1376852552,0.3717588900,0.5102037199,0.0704590171,0.1271095696,0.1962554044,-0.0005660067,-0.0000315365,-9145.6721257182
-0.4833763980,0.2669622244,3.6745674794,0.1366521737,0.3721974954,0.5098506971,0.0725239128,0.1304555457,0.2016530529,-0.0006462324,-0.0000368697,-9145.6354563762
-0.5087213052,0.2816807007,3.7690173676,0.1356177182,0.3726267763,0.5094984100,0.0745971658,0.1337950259,0.2070568154,-0.0007352670,-0.0000429235,-9145.5978091851
-0.5346820931,0.2968145701,3.8632937802,0.1345819332,0.3730467282,0.5091468762,0.0766787716,0.1371278707,0.2124667772,-0.0008338095,-0.0000497717,-9145.5591841446
-0.5612557318,0.3123650610,3.9573925620,0.1335448633,0.3734573471,0.5087961132,0.0787687257,0.1404539407,0.2178830232,-0.0009425935,-0.0000574929,-9145.5195812548
-0.5884391290,0.3283333702,4.0513095855,0.1325065528,0.3738586295,0.5084461378,0.0808670238,0.1437730960,0.2233056372,-0.0010623887,-0.0000661714,-9145.4790005158
-0.6162291302,0.3447206629,4.1450407523,0.1314670461,0.3742505726,0.5080969670,0.0829736615,0.1470851970,0.2287347024,-0.0011940006,-0.0000758967,-9145.4374419274
-0.6446225191,0.3615280737,4.2385819938,0.1304263876,0.3746331737,0.5077486173,0.0850886348,0.1503901037,0.2341703011,-0.0013382720,-0.0000867641,-9145.3949054897
-0.6736160177,0.3787567057,4.3319292720,0.1293846215,0.3750064311,0.5074011049,0.0872119395,0.1536876760,0.2396125148,-0.0014960833,-0.0000988746,-9145.3513912027
-0.7032062871,0.3964076318,4.4250785809,0.1283417918,0.3753703432,0.5070544459,0.0893435716,0.1569777737,0.2450614241,-0.0016683533,-0.0001123352,-9145.3068990663
-0.7333899277,0.4144818940,4.5180259465,0.1272979428,0.3757249093,0.5067086559,0.0914835271,0.1602602567,0.2505171088,-0.0018560396,-0.0001272592,-9145.2614290806
-0.7641634794,0.4329805041,4.6107674287,0.1262531184,0.3760701289,0.5063637503,0.0936318020,0.1635349845,0.2559796477,-0.0020601396,-0.0001437658,-9145.2149812455
-0.7955234223,0.4519044438,4.7032991212,0.1252073626,0.3764060021,0.5060197444,0.0957883921,0.1668018167,0.2614491188,-0.0022816909,-0.0001619810,-9145.1675555610
-0.8274661771,0.4712546650,4.7956171531,0.1241607193,0.3767325295,0.5056766529,0.0979532935,0.1700606127,0.2669255991,-0.0025217717,-0.0001820372,-9145.1191520270
-0.8599881052,0.4910320897,4.8877176893,0.1231132322,0.3770497123,0.5053344905,0.1001265019,0.1733112319,0.2724091648,-0.0027815019,-0.0002040734,-9145.0697706437
-0.8930855097,0.5112376106,4.9795969315,0.1220649450,0.3773575522,0.5049932716,0.1023080132,0.1765535337,0.2778998908,-0.0030620433,-0.0002282355,-9145.0194114109
-0.9267546351,0.5318720911,5.0712511189,0.1210159013,0.3776560512,0.5046530100,0.1044978231,0.1797873772,0.2833978515,-0.0033646002,-0.0002546763,-9144.9680743287
-0.9609916686,0.5529363655,5.1626765295,0.1199661447,0.3779452120,0.5043137197,0.1066959270,0.1830126217,0.2889031199,-0.0036904200,-0.0002835556,-9144.9157593970
