u_mps,v_mps,w_mps,p_rps,q_rps,r_rps,phi_rad,theta_rad,psi_rad,p1_n_m,p2_n_m,p3_n_m
39.7206163292,31.4209890000,62.2940067168,-0.0106834101,-0.0020570228,0.2229856082,0.4671600283,-0.5175474112,3.4192543098,68.0161396518,3.9643046436,-8816.7806013966
39.8402536110,31.3639613396,62.3724110360,-0.0105963738,-0.0020572806,0.2225188519,0.4659249378,-0.5185677264,3.4215336035,68.6570701189,3.9616391690,-8815.9772706447
39.9597056754,31.3067834631,62.4507826483,-0.0105099223,-0.0020573038,0.2220524624,0.4646897058,-0.5195835026,3.4238108686,69.2995274489,3.9588271519,-8815.1729619422
40.0789722577,31.2494566246,62.5291218692,-0.0104240528,-0.0020570967,0.2215864415,0.4634543452,-0.5205947480,3.4260860947,69.9435053150,3.9558662522,-8814.3676752890
40.1980531012,31.1919820755,62.6074290127,-0.0103387628,-0.0020566631,0.2211207906,0.4622188690,-0.5216014706,3.4283592717,70.5889973972,3.9527541317,-8813.5614106847
40.3169479571,31.1343610646,62.6857043911,-0.0102540498,-0.0020560072,0.2206555115,0.4609832901,-0.5226036787,3.4306303893,71.2359973826,3.9494884537,-8812.7541681292
40.4356565844,31.0765948379,62.7639483153,-0.0101699110,-0.0020551328,0.2201906058,0.4597476216,-0.5236013805,3.4328994372,71.8844989655,3.9460668839,-8811.9459476221
40.5541787504,31.0186846386,62.8421610944,-0.0100863439,-0.0020540438,0.2197260750,0.4585118764,-0.5245945843,3.4351664051,72.5344958480,3.9424870900,-8811.1367491632
40.6725142296,30.9606317072,62.9203430362,-0.0100033458,-0.0020527442,0.2192619209,0.4572760675,-0.5255832985,3.4374312826,73.1859817400,3.9387467426,-8810.3265727522
40.7906628048,30.9024372814,62.9984944466,-0.0099209141,-0.0020512378,0.2187981449,0.4560402080,-0.5265675316,3.4396940594,73.8389503593,3.9348435148,-8809.5154183890
40.9086242663,30.8441025962,63.0766156301,-0.0098390462,-0.0020495283,0.2183347488,0.4548043108,-0.5275472921,3.4419547250,74.4933954321,3.9307750830,-8808.7032860733
41.0263984119,30.7856288834,63.1547068895,-0.0097577396,-0.0020476194,0.2178717340,0.4535683890,-0.5285225885,3.4442132690,75.1493106933,3.9265391267,-8807.8901758047
41.1439850473,30.7270173725,63.2327685260,-0.0096769914,-0.0020455150,0.2174091022,0.4523324556,-0.5294934295,3.4464696810,75.8066898865,3.9221333289,-8807.0760875832
41.2613839857,30.6682692897,63.3108008390,-0.0095967992,-0.0020432186,0.2169468549,0.4510965237,-0.5304598238,3.4487239504,76.4655267642,3.9175553765,-8806.2610214083
41.3785950477,30.6093858585,63.3888041264,-0.0095171602,-0.0020407338,0.2164849938,0.4498606063,-0.5314217802,3.4509760668,77.1258150884,3.9128029601,-8805.4449772800
41.4956180616,30.5503682995,63.4667786844,-0.0094380720,-0.0020380643,0.2160235203,0.4486247165,-0.5323793075,3.4532260196,77.7875486304,3.9078737747,-8804.6279551978
41.6124528628,30.4912178304,63.5447248075,-0.0093595317,-0.0020352135,0.2155624361,0.4473888673,-0.5333324145,3.4554737983,78.4507211714,3.9027655196,-8803.8099551616
41.7290992944,30.4319356659,63.6226427885,-0.0092815368,-0.0020321851,0.2151017426,0.4461530719,-0.5342811103,3.4577193923,79.1153265024,3.8974758989,-8802.9909771711
41.8455572067,30.3725230177,63.7005329185,-0.0092040848,-0.0020289823,0.2146414415,0.4449173432,-0.5352254038,3.4599627910,79.7813584247,3.8920026214,-8802.1710212261
41.9618264572,30.3129810948,63.7783954870,-0.0091271728,-0.0020256088,0.2141815343,0.4436816944,-0.5361653041,3.4622039838,80.4488107497,3.8863434010,-8801.3500873263
42.0779069107,30.2533111030,63.8562307815,-0.0090507983,-0.0020220677,0.2137220225,0.4424461385,-0.5371008203,3.4644429602,81.1176772998,3.8804959571,-8800.5281754714
42.1937984392,30.1935142450,63.9340390882,-0.0089749587,-0.0020183625,0.2132629077,0.4412106886,-0.5380319617,3.4666797094,81.7879519078,3.8744580143,-8799.7052856613
42.3095009218,30.1335917208,64.0118206912,-0.0088996514,-0.0020144965,0.2128041911,0.4399753578,-0.5389587374,3.4689142208,82.4596284180,3.8682273033,-8798.8814178956
42.4250142446,30.0735447273,64.0895758730,-0.0088248736,-0.0020104729,0.2123458744,0.4387401591,-0.5398811568,3.4711464837,83.1327006855,3.8618015604,-8798.0565721741
42.5403383008,30.0133744582,64.1673049145,-0.0087506227,-0.0020062950,0.2118879589,0.4375051058,-0.5407992292,3.4733764875,83.8071625770,3.8551785282,-8797.2307484965
42.6554729905,29.9530821045,64.2450080946,-0.0086768962,-0.0020019660,0.2114304462,0.4362702107,-0.5417129640,3.4756042215,84.4830079709,3.8483559559,-8796.4039468627
42.7704182208,29.8926688537,64.3226856905,-0.0086036913,-0.0019974889,0.2109733378,0.4350354870,-0.5426223707,3.4778296750,85.1602307574,3.8413315989,-8795.5761672723
42.8851739057,29.8321358906,64.4003379779,-0.0085310056,-0.0019928670,0.2105166352,0.4338009479,-0.5435274588,3.4800528372,85.8388248386,3.8341032197,-8794.7474097250
42.9997399660,29.7714843967,64.4779652304,-0.0084588362,-0.0019881032,0.2100603399,0.4325666063,-0.5444282379,3.4822736974,86.5187841290,3.8266685876,-8793.9176742207
43.1141163293,29.7107155502,64.5555677199,-0.0083871807,-0.0019832007,0.2096044534,0.4313324753,-0.5453247176,3.4844922450,87.2001025556,3.8190254792,-8793.0869607591
43.2283029299,29.6498305266,64.6331457168,-0.0083160364,-0.0019781625,0.2091489770,0.4300985680,-0.5462169076,3.4867084692,87.8827740577,3.8111716783,-8792.2552693399
43.3422997090,29.5888304979,64.7106994893,-0.0082454007,-0.0019729914,0.2086939124,0.4288648974,-0.5471048177,3.4889223591,88.5667925876,3.8031049766,-8791.4225999628
43.4561066141,29.5277166330,64.7882293042,-0.0081752709,-0.0019676905,0.2082392610,0.4276314766,-0.5479884576,3.4911339042,89.2521521107,3.7948231734,-8790.5889526277
43.5697235995,29.4664900978,64.8657354262,-0.0081056445,-0.0019622627,0.2077850242,0.4263983187,-0.5488678371,3.4933430936,89.9388466054,3.7863240759,-8789.7543273342
43.6831506262,29.4051520547,64.9432181185,-0.0080365188,-0.0019567107,0.2073312034,0.4251654367,-0.5497429662,3.4955499167,90.6268700633,3.7776054997,-8788.9187240821
43.7963876614,29.3437036631,65.0206776422,-0.0079678912,-0.0019510375,0.2068778002,0.4239328436,-0.5506138548,3.4977543625,91.3162164900,3.7686652686,-8788.0821428711
43.9094346789,29.2821460792,65.0981142569,-0.0078997591,-0.0019452458,0.2064248160,0.4227005525,-0.5514805128,3.4999564205,92.0068799043,3.7595012150,-8787.2445837010
44.0222916588,29.2204804560,65.1755282202,-0.0078321200,-0.0019393384,0.2059722521,0.4214685763,-0.5523429504,3.5021560798,92.6988543391,3.7501111800,-8786.4060465716
44.1349585879,29.1587079430,65.2529197879,-0.0077649712,-0.0019333180,0.2055201101,0.4202369281,-0.5532011776,3.5043533297,93.3921338414,3.7404930137,-8785.5665314825
44.2474354588,29.0968296866,65.3302892142,-0.0076983100,-0.0019271873,0.2050683913,0.4190056208,-0.5540552045,3.5065481595,94.0867124722,3.7306445752,-8784.7260384335
44.3597222707,29.0348468301,65.4076367513,-0.0076321340,-0.0019209489,0.2046170971,0.4177746675,-0.5549050414,3.5087405583,94.7825843072,3.7205637328,-8783.8845674243
44.4718190289,28.9727605133,65.4849626497,-0.0075664405,-0.0019146055,0.2041662291,0.4165440811,-0.5557506984,3.5109305156,95.4797434362,3.7102483646,-8783.0421184548
44.5837257449,28.9105718728,65.5622671579,-0.0075012270,-0.0019081597,0.2037157885,0.4153138745,-0.5565921859,3.5131180204,96.1781839642,3.6996963580,-8782.1986915246
44.6954424364,28.8482820417,65.6395505229,-0.0074364907,-0.0019016140,0.2032657768,0.4140840608,-0.5574295141,3.5153030622,96.8779000105,3.6889056103,-8781.3542866334
44.8069691269,28.7858921501,65.7168129896,-0.0073722293,-0.0018949710,0.2028161953,0.4128546528,-0.5582626934,3.5174856301,97.5788857100,3.6778740287,-8780.5089037811
44.9183058461,28.7234033246,65.7940548013,-0.0073084400,-0.0018882331,0.2023670455,0.4116256635,-0.5590917343,3.5196657135,98.2811352122,3.6665995307,-8779.6625429673
45.0294526298,28.6608166885,65.8712761994,-0.0072451204,-0.0018814027,0.2019183287,0.4103971058,-0.5599166471,3.5218433017,98.9846426823,3.6550800441,-8778.8152041919
45.1404095195,28.5981333617,65.9484774235,-0.0071822678,-0.0018744824,0.2014700463,0.4091689925,-0.5607374425,3.5240183839,99.6894023009,3.6433135069,-8777.9668874544
45.2511765626,28.5353544607,66.0256587114,-0.0071198796,-0.0018674746,0.2010221997,0.4079413365,-0.5615541309,3.5261909495,100.3954082640,3.6312978680,-8777.1175927547
45.3617538125,28.4724810988,66.1028202991,-0.0070579534,-0.0018603815,0.2005747902,0.4067141507,-0.5623667229,3.5283609878,101.1026547836,3.6190310870,-8776.2673200926
45.4721413283,28.4095143857,66.1799624207,-0.0069964866,-0.0018532055,0.2001278192,0.4054874479,-0.5631752292,3.5305284882,101.8111360874,3.6065111344,-8775.4160694677
45.5823391747,28.3464554280,66.2570853087,-0.0069354766,-0.0018459489,0.1996812881,0.4042612409,-0.5639796604,3.5326934399,102.5208464194,3.5937359920,-8774.5638408798
45.6923474222,28.2833053286,66.3341891936,-0.0068749208,-0.0018386140,0.1992351981,0.4030355425,-0.5647800272,3.5348558324,103.2317800394,3.5807036524,-8773.7106343286
45.8021661470,28.2200651871,66.4112743042,-0.0068148167,-0.0018312031,0.1987895507,0.4018103655,-0.5655763404,3.5370156551,103.9439312238,3.5674121201,-8772.8564498138
45.9117954309,28.1567360998,66.4883408674,-0.0067551618,-0.0018237183,0.1983443471,0.4005857227,-0.5663686108,3.5391728973,104.6572942654,3.5538594108,-8772.0012873353
46.0212353611,28.0933191593,66.5653891084,-0.0066959536,-0.0018161618,0.1978995887,0.3993616267,-0.5671568492,3.5413275485,105.3718634734,3.5400435521,-8771.1451468927
46.1304860303,28.0298154550,66.6424192506,-0.0066371895,-0.0018085358,0.1974552767,0.3981380903,-0.5679410664,3.5434795981,106.0876331738,3.5259625833,-8770.2880284858
46.2395475369,27.9662260729,66.7194315156,-0.0065788670,-0.0018008423,0.1970114126,0.3969151262,-0.5687212735,3.5456290355,106.8045977095,3.5116145557,-8769.4299321143
46.3484199845,27.9025520952,66.7964261231,-0.0065209836,-0.0017930836,0.1965679977,0.3956927470,-0.5694974812,3.5477758503,107.5227514403,3.4969975328,-8768.5708577780
46.4571034821,27.8387946009,66.8734032911,-0.0064635367,-0.0017852616,0.1961250331,0.3944709654,-0.5702697006,3.5499200318,108.2420887429,3.4821095901,-8767.7108054765
46.5655981441,27.7749546656,66.9503632359,-0.0064065240,-0.0017773784,0.1956825203,0.3932497940,-0.5710379428,3.5520615697,108.9626040114,3.4669488157,-8766.8497752097
46.6739040900,27.7110333611,67.0273061719,-0.0063499427,-0.0017694360,0.1952404605,0.3920292454,-0.5718022187,3.5542004534,109.6842916571,3.4515133103,-8765.9877669772
46.7820214446,27.6470317561,67.1042323118,-0.0062937906,-0.0017614363,0.1947988550,0.3908093321,-0.5725625394,3.5563366726,110.4071461088,3.4358011868,-8765.1247807788
46.8899503381,27.5829509154,67.1811418663,-0.0062380651,-0.0017533814,0.1943577050,0.3895900667,-0.5733189161,3.5584702167,111.1311618128,3.4198105714,-8764.2608166142
46.9976909054,27.5187919006,67.2580350447,-0.0061827636,-0.0017452732,0.1939170120,0.3883714618,-0.5740713600,3.5606010754,111.8563332329,3.4035396027,-8763.3958744832
47.1052432869,27.4545557697,67.3349120542,-0.0061278838,-0.0017371134,0.1934767770,0.3871535297,-0.5748198822,3.5627292384,112.5826548509,3.3869864327,-8762.5299543855
47.2126076277,27.3902435771,67.4117731004,-0.0060734231,-0.0017289041,0.1930370014,0.3859362829,-0.5755644939,3.5648546952,113.3101211663,3.3701492261,-8761.6630563208
47.3197840783,27.3258563738,67.4886183871,-0.0060193791,-0.0017206470,0.1925976865,0.3847197339,-0.5763052063,3.5669774356,114.0387266966,3.3530261613,-8760.7951802889
47.4267727937,27.2613952070,67.5654481164,-0.0059657494,-0.0017123440,0.1921588335,0.3835038951,-0.5770420309,3.5690974493,114.7684659773,3.3356154298,-8759.9263262895
47.5335739340,27.1968611208,67.6422624886,-0.0059125314,-0.0017039969,0.1917204436,0.3822887788,-0.5777749789,3.5712147260,115.4993335622,3.3179152365,-8759.0564943223
47.6401876644,27.1322551553,67.7190617022,-0.0058597228,-0.0016956074,0.1912825180,0.3810743974,-0.5785040616,3.5733292555,116.2313240233,3.2999237999,-8758.1856843871
47.7466141546,27.0675783474,67.7958459541,-0.0058073211,-0.0016871772,0.1908450581,0.3798607632,-0.5792292904,3.5754410275,116.9644319510,3.2816393524,-8757.3138964836
47.8528535791,27.0028317302,67.8726154394,-0.0057553238,-0.0016787081,0.1904080650,0.3786478884,-0.5799506768,3.5775500320,117.6986519540,3.2630601399,-8756.4411306114
47.9589061172,26.9380163333,67.9493703513,-0.0057037286,-0.0016702017,0.1899715399,0.3774357852,-0.5806682321,3.5796562587,118.4339786598,3.2441844223,-8755.5673867705
48.0647719530,26.8731331827,68.0261108816,-0.0056525331,-0.0016616598,0.1895354842,0.3762244660,-0.5813819679,3.5817596976,119.1704067143,3.2250104734,-8754.6926649604
48.1704512750,26.8081833009,68.1028372201,-0.0056017347,-0.0016530839,0.1890998989,0.3750139428,-0.5820918956,3.5838603386,119.9079307824,3.2055365814,-8753.8169651810
48.2759442765,26.7431677068,68.1795495550,-0.0055513312,-0.0016444756,0.1886647852,0.3738042278,-0.5827980268,3.5859581716,120.6465455476,3.1857610481,-8752.9402874319
48.3812511553,26.6780874156,68.2562480729,-0.0055013200,-0.0016358366,0.1882301445,0.3725953332,-0.5835003729,3.5880531866,121.3862457123,3.1656821902,-8752.0626317129
48.4863721135,26.6129434391,68.3329329585,-0.0054516989,-0.0016271685,0.1877959778,0.3713872709,-0.5841989456,3.5901453737,122.1270259980,3.1452983381,-8751.1839980237
48.5913073580,26.5477367852,68.4096043948,-0.0054024655,-0.0016184726,0.1873622863,0.3701800530,-0.5848937565,3.5922347229,122.8688811452,3.1246078373,-8750.3043863641
48.6960570999,26.4824684585,68.4862625634,-0.0053536173,-0.0016097506,0.1869290713,0.3689736915,-0.5855848172,3.5943212244,123.6118059136,3.1036090473,-8749.4237967337
48.8006215547,26.4171394600,68.5629076439,-0.0053051520,-0.0016010040,0.1864963337,0.3677681983,-0.5862721394,3.5964048682,124.3557950821,3.0823003424,-8748.5422291324
48.9050009422,26.3517507868,68.6395398143,-0.0052570672,-0.0015922341,0.1860640746,0.3665635854,-0.5869557347,3.5984856445,125.1008434490,3.0606801117,-8747.6596835597
49.0091954865,26.2863034329,68.7161592511,-0.0052093605,-0.0015834425,0.1856322952,0.3653598647,-0.5876356148,3.6005635436,125.8469458317,3.0387467590,-8746.7761600155
49.1132054160,26.2207983883,68.7927661289,-0.0051620297,-0.0015746306,0.1852009968,0.3641570480,-0.5883117914,3.6026385557,126.5940970673,3.0164987027,-8745.8916584995
49.2170309633,26.1552366394,68.8693606208,-0.0051150724,-0.0015657997,0.1847701804,0.3629551471,-0.5889842764,3.6047106710,127.3422920123,2.9939343765,-8745.0061790115
49.3206723649,26.0896191692,68.9459428982,-0.0050684862,-0.0015569513,0.1843398471,0.3617541737,-0.5896530813,3.6067798800,128.0915255429,2.9710522288,-8744.1197215510
49.4241298618,26.0239469568,69.0225131308,-0.0050222689,-0.0015480867,0.1839099982,0.3605541397,-0.5903182182,3.6088461729,128.8417925549,2.9478507232,-8743.2322861180
49.5274036990,25.9582209778,69.0990714868,-0.0049764181,-0.0015392072,0.1834806348,0.3593550566,-0.5909796987,3.6109095402,129.5930879637,2.9243283383,-8742.3438727120
49.6304941253,25.8924422041,69.1756181327,-0.0049309315,-0.0015303141,0.1830517579,0.3581569362,-0.5916375347,3.6129699724,130.3454067047,2.9004835680,-8741.4544813329
49.7334013936,25.8266116039,69.2521532333,-0.0048858068,-0.0015214088,0.1826233687,0.3569597899,-0.5922917380,3.6150274599,131.0987437329,2.8763149214,-8740.5641119803
49.8361257610,25.7607301420,69.3286769519,-0.0048410417,-0.0015124925,0.1821954684,0.3557636295,-0.5929423205,3.6170819933,131.8530940235,2.8518209229,-8739.6727646540
49.9386674883,25.6947987792,69.4051894502,-0.0047966340,-0.0015035664,0.1817680580,0.3545684663,-0.5935892941,3.6191335632,132.6084525713,2.8270001122,-8738.7804393538
50.0410268400,25.6288184729,69.4816908882,-0.0047525814,-0.0014946318,0.1813411386,0.3533743119,-0.5942326707,3.6211821602,133.3648143915,2.8018510445,-8737.8871360792
50.1432040847,25.5627901767,69.5581814243,-0.0047088815,-0.0014856898,0.1809147114,0.3521811776,-0.5948724622,3.6232277749,134.1221745192,2.7763722905,-8736.9928548301
50.2451994948,25.4967148405,69.6346612156,-0.0046655322,-0.0014767417,0.1804887774,0.3509890749,-0.5955086805,3.6252703981,134.8805280094,2.7505624362,-8736.0975956062
50.3470133462,25.4305934108,69.7111304173,-0.0046225312,-0.0014677886,0.1800633377,0.3497980151,-0.5961413377,3.6273100207,135.6398699378,2.7244200834,-8735.2013584072
50.4486459188,25.3644268300,69.7875891831,-0.0045798762,-0.0014588316,0.1796383934,0.3486080095,-0.5967704457,3.6293466332,136.4001953999,2.6979438494,-8734.3041432328
50.5500974959,25.2982160372,69.8640376652,-0.0045375650,-0.0014498720,0.1792139456,0.3474190693,-0.5973960165,3.6313802268,137.1614995116,2.6711323671,-8733.4059500828
50.6513683646,25.2319619678,69.9404760143,-0.0044955955,-0.0014409107,0.1787899953,0.3462312058,-0.5980180621,3.6334107922,137.9237774091,2.6439842853,-8732.5067789569
50.7524588155,25.1656655532,70.0169043794,-0.0044539653,-0.0014319489,0.1783665437,0.3450444300,-0.5986365945,3.6354383204,138.6870242492,2.6164982684,-8731.6066298547
50.8533691429,25.0993277215,70.0933229082,-0.0044126722,-0.0014229876,0.1779435917,0.3438587531,-0.5992516257,3.6374628024,139.4512352088,2.5886729964,-8730.7055027761
50.9540996443,25.0329493968,70.1697317466,-0.0043717142,-0.0014140279,0.1775211404,0.3426741862,-0.5998631678,3.6394842293,140.2164054855,2.5605071653,-8729.8033977208
51.0546506209,24.9665314999,70.2461310392,-0.0043310889,-0.0014050709,0.1770991909,0.3414907402,-0.6004712330,3.6415025922,140.9825302973,2.5319994870,-8728.9003146884
51.1550223773,24.9000749475,70.3225209290,-0.0042907942,-0.0013961174,0.1766777442,0.3403084261,-0.6010758331,3.6435178823,141.7496048826,2.5031486891,-8727.9962536787
51.2552152214,24.8335806529,70.3989015575,-0.0042508279,-0.0013871685,0.1762568013,0.3391272548,-0.6016769804,3.6455300907,142.5176245006,2.4739535151,-8727.0912146914
51.3552294646,24.7670495256,70.4752730647,-0.0042111879,-0.0013782252,0.1758363633,0.3379472371,-0.6022746869,3.6475392088,143.2865844311,2.4444127246,-8726.1851977263
51.4550654215,24.7004824714,70.5516355892,-0.0041718720,-0.0013692885,0.1754164312,0.3367683840,-0.6028689647,3.6495452278,144.0564799744,2.4145250929,-8725.2782027830
51.5547234099,24.6338803925,70.6279892680,-0.0041328780,-0.0013603592,0.1749970060,0.3355907060,-0.6034598260,3.6515481391,144.8273064516,2.3842894114,-8724.3702298613
51.6542037510,24.5672441875,70.7043342367,-0.0040942038,-0.0013514383,0.1745780887,0.3344142141,-0.6040472829,3.6535479342,145.5990592044,2.3537044874,-8723.4612789610
51.7535067690,24.5005747509,70.7806706295,-0.0040558473,-0.0013425267,0.1741596804,0.3332389187,-0.6046313476,3.6555446045,146.3717335955,2.3227691444,-8722.5513500816
51.8526327915,24.4338729740,70.8569985790,-0.0040178063,-0.0013336252,0.1737417819,0.3320648305,-0.6052120321,3.6575381415,147.1453250082,2.2914822216,-8721.6404432230
51.9515821489,24.3671397440,70.9333182165,-0.0039800788,-0.0013247348,0.1733243944,0.3308919601,-0.6057893487,3.6595285369,147.9198288464,2.2598425746,-8720.7285583849
52.0503551750,24.3003759448,71.0096296719,-0.0039426626,-0.0013158563,0.1729075188,0.3297203179,-0.6063633095,3.6615157822,148.6952405352,2.2278490746,-8719.8156955669
52.1489522064,24.2335824564,71.0859330735,-0.0039055557,-0.0013069905,0.1724911561,0.3285499144,-0.6069339268,3.6634998692,149.4715555204,2.1955006093,-8718.9018547688
52.2473735829,24.1667601549,71.1622285483,-0.0038687559,-0.0012981383,0.1720753073,0.3273807601,-0.6075012126,3.6654807896,150.2487692686,2.1627960821,-8717.9870359904
52.3456196471,24.0999099132,71.2385162220,-0.0038322612,-0.0012893003,0.1716599733,0.3262128651,-0.6080651792,3.6674585353,151.0268772674,2.1297344127,-8717.0712392313
52.4436907445,24.0330326001,71.3147962186,-0.0037960694,-0.0012804775,0.1712451551,0.3250462399,-0.6086258387,3.6694330981,151.8058750253,2.0963145367,-8716.1544644913
52.5415872237,23.9661290809,71.3910686611,-0.0037601787,-0.0012716706,0.1708308537,0.3238808947,-0.6091832035,3.6714044699,152.5857580718,2.0625354059,-8715.2367117700
52.6393094360,23.8992002171,71.4673336709,-0.0037245868,-0.0012628803,0.1704170700,0.3227168395,-0.6097372856,3.6733726426,153.3665219572,2.0283959881,-8714.3179810673
52.7368577355,23.8322468666,71.5435913680,-0.0036892918,-0.0012541075,0.1700038050,0.3215540847,-0.6102880974,3.6753376085,154.1481622530,1.9938952671,-8713.3982723828
52.8342324792,23.7652698836,71.6198418711,-0.0036542916,-0.0012453527,0.1695910595,0.3203926401,-0.6108356510,3.6772993594,154.9306745514,1.9590322428,-8712.4775857162
52.9314340267,23.6982701186,71.6960852977,-0.0036195841,-0.0012366167,0.1691788347,0.3192325159,-0.6113799587,3.6792578877,155.7140544659,1.9238059313,-8711.5559210672
53.0284627405,23.6312484184,71.7723217637,-0.0035851675,-0.0012279002,0.1687671312,0.3180737219,-0.6119210326,3.6812131855,156.4982976309,1.8882153645,-8710.6332784356
53.1253189855,23.5642056261,71.8485513838,-0.0035510396,-0.0012192039,0.1683559502,0.3169162682,-0.6124588851,3.6831652451,157.2833997018,1.8522595905,-8709.7096578211
53.2220031296,23.4971425812,71.9247742714,-0.0035171985,-0.0012105285,0.1679452926,0.3157601645,-0.6129935283,3.6851140588,158.0693563551,1.8159376734,-8708.7850592234
53.3185155429,23.4300601194,72.0009905386,-0.0034836422,-0.0012018745,0.1675351591,0.3146054205,-0.6135249745,3.6870596190,158.8561632884,1.7792486933,-8707.8594826422
53.4148565984,23.3629590728,72.0772002962,-0.0034503687,-0.0011932427,0.1671255508,0.3134520461,-0.6140532360,3.6890019182,159.6438162201,1.7421917461,-8706.9329280773
53.5110266714,23.2958402698,72.1534036535,-0.0034173761,-0.0011846336,0.1667164686,0.3123000510,-0.6145783249,3.6909409489,160.4323108901,1.7047659441,-8706.0053955283
53.6070261398,23.2287045350,72.2296007189,-0.0033846623,-0.0011760479,0.1663079133,0.3111494446,-0.6151002535,3.6928767037,161.2216430589,1.6669704152,-8705.0768849949
53.7028553840,23.1615526896,72.3057915992,-0.0033522254,-0.0011674861,0.1658998858,0.3100002366,-0.6156190341,3.6948091752,162.0118085086,1.6288043033,-8704.1473964769
53.7985147867,23.0943855509,72.3819764001,-0.0033200635,-0.0011589488,0.1654923870,0.3088524365,-0.6161346789,3.6967383562,162.8028030419,1.5902667684,-8703.2169299740
53.8940047332,23.0272039326,72.4581552260,-0.0032881747,-0.0011504366,0.1650854178,0.3077060537,-0.6166472002,3.6986642393,163.5946224829,1.5513569860,-8702.2854854860
53.9893256110,22.9600086446,72.5343281800,-0.0032565570,-0.0011419500,0.1646789791,0.3065610976,-0.6171566101,3.7005868174,164.3872626767,1.5120741480,-8701.3530630124
54.0844778098,22.8928004933,72.6104953640,-0.0032252085,-0.0011334896,0.1642730717,0.3054175774,-0.6176629210,3.7025060835,165.1807194894,1.4724174617,-8700.4196625531
54.1794617219,22.8255802815,72.6866568788,-0.0031941274,-0.0011250559,0.1638676965,0.3042755026,-0.6181661451,3.7044220304,165.9749888083,1.4323861503,-8699.4852841077
54.2742777416,22.7583488081,72.7628128238,-0.0031633116,-0.0011166495,0.1634628542,0.3031348822,-0.6186662945,3.7063346512,166.7700665417,1.3919794530,-8698.5499276760
54.3689262655,22.6911068687,72.8389632973,-0.0031327593,-0.0011082707,0.1630585456,0.3019957254,-0.6191633816,3.7082439389,167.5659486192,1.3511966245,-8697.6135932576
54.4634076923,22.6238552551,72.9151083964,-0.0031024687,-0.0010999201,0.1626547715,0.3008580412,-0.6196574186,3.7101498868,168.3626309912,1.3100369353,-8696.6762808523
54.5577224230,22.5565947554,72.9912482169,-0.0030724378,-0.0010915982,0.1622515328,0.2997218388,-0.6201484177,3.7120524879,169.1601096293,1.2684996715,-8695.7379904598
54.6518708606,22.4893261541,73.0673828535,-0.0030426648,-0.0010833054,0.1618488303,0.2985871271,-0.6206363911,3.7139517357,169.9583805262,1.2265841351,-8694.7987220799
54.7458534103,22.4220502320,73.1435123999,-0.0030131479,-0.0010750422,0.1614466649,0.2974539149,-0.6211213511,3.7158476233,170.7574396956,1.1842896433,-8693.8584757121
54.8396704792,22.3547677664,73.2196369482,-0.0029838852,-0.0010668091,0.1610450373,0.2963222111,-0.6216033098,3.7177401443,171.5572831723,1.1416155291,-8692.9172513563
54.9333224766,22.2874795308,73.2957565899,-0.0029548749,-0.0010586064,0.1606439484,0.2951920244,-0.6220822796,3.7196292921,172.3579070121,1.0985611412,-8691.9750490121
55.0268098137,22.2201862951,73.3718714149,-0.0029261151,-0.0010504346,0.1602433990,0.2940633637,-0.6225582725,3.7215150601,173.1593072920,1.0551258433,-8691.0318686792
55.1201329036,22.1528888256,73.4479815122,-0.0028976041,-0.0010422940,0.1598433899,0.2929362375,-0.6230313008,3.7233974421,173.9614801097,1.0113090149,-8690.0877103574
55.2132921616,22.0855878849,73.5240869696,-0.0028693400,-0.0010341851,0.1594439220,0.2918106545,-0.6235013767,3.7252764317,174.7644215842,0.9671100508,-8689.1425740464
55.3062880045,22.0182842320,73.6001878739,-0.0028413211,-0.0010261083,0.1590449959,0.2906866231,-0.6239685124,3.7271520226,175.5681278554,0.9225283612,-8688.1964597459
55.3991208514,21.9509786223,73.6762843106,-0.0028135456,-0.0010180639,0.1586466125,0.2895641518,-0.6244327201,3.7290242086,176.3725950841,0.8775633713,-8687.2493674556
55.4917911228,21.8836718075,73.7523763643,-0.0027860116,-0.0010100523,0.1582487725,0.2884432490,-0.6248940119,3.7308929835,177.1778194523,0.8322145220,-8686.3012971751
55.5842992414,21.8163645357,73.8284641183,-0.0027587175,-0.0010020738,0.1578514769,0.2873239232,-0.6253523999,3.7327583414,177.9837971628,0.7864812690,-8685.3522489043
55.6766456314,21.7490575515,73.9045476551,-0.0027316614,-0.0009941288,0.1574547262,0.2862061825,-0.6258078965,3.7346202762,178.7905244393,0.7403630833,-8684.4022226427
55.7688307188,21.6817515956,73.9806270559,-0.0027048416,-0.0009862177,0.1570585213,0.2850900351,-0.6262605137,3.7364787819,179.5979975265,0.6938594509,-8683.4512183902
55.8608549316,21.6144474055,74.0567024010,-0.0026782564,-0.0009783406,0.1566628630,0.2839754893,-0.6267102636,3.7383338527,180.4062126899,0.6469698731,-8682.4992361465
55.9527186990,21.5471457146,74.1327737695,-0.0026519041,-0.0009704980,0.1562677520,0.2828625531,-0.6271571585,3.7401854827,181.2151662161,0.5996938657,-8681.5462759111
56.0444224522,21.4798472532,74.2088412395,-0.0026257829,-0.0009626902,0.1558731890,0.2817512346,-0.6276012103,3.7420336664,182.0248544123,0.5520309599,-8680.5923376839
